Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\_print_helpers.py:27(__str__)
       67    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1530(<genexpr>)
       79    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.055    0.055 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:195(__add__)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:687(__init__)
        2    0.000    0.000    0.005    0.002 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1010(set_clip_path)
        6    0.000    0.000    0.000    0.000 {method '__copy__' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'repeat' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\mul.py:1590(_eval_is_even)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\printing\pycode.py:99(__init__)
        3    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:1372(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\figure.py:163(__init__)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:995(<dictcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:190(FigureCanvasQT)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
       12    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:1669(nonsingular)
       17    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:348(set_facecolor)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:3164(set_axisbelow)
      117    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2683(name)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\twodim_base.py:162(eye)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(inv)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_api\__init__.py:195(caching_module_getattr)
       35    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\colors.py:384(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:1580(Element)
       46    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:988(get_hatch)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:2387(mpl_connect)
       14    0.000    0.000    0.000    0.000 {built-in method numpy.seterrobj}
       31    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2965(<genexpr>)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\signal.py:54(signal)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\decorators.py:41(__sympifyit)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\power.py:732(_eval_is_complex)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_ufunc_config.py:430(__enter__)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:1510(_mouse_handler)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:306(<listcomp>)
        1    0.000    0.000    0.000    0.000 c:\Users\vadqu\Desktop\Proyectos codigo\pymos\core.py:36(create_points)
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:2829(amin)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:222(_update_pixel_ratio)
        1    0.000    0.000    0.000    0.000 {built-in method pos}
       55    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:785(set_figure)
       14    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\operations.py:429(make_args)
       21    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py:581(tiny)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\free_groups.py:342(FreeGroupElement)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:1967(_signature_bound_method)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\signal.py:24(_int_to_enum)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:2220(__mod__)
       32    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:1362(getmask)
       29    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:3396(dtype)
       29    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:115(__hash__)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:827(limit_range_for_scale)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\tensor\tensor.py:2387(TensAdd)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\ntpath.py:489(normpath)
    48/40    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:458(<genexpr>)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1504(transform_affine)
       71    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:186(close_group)
       25    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:900(set_dashes)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\figure.py:69(as_list)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:3951(format_ydata)
        1    0.000    0.000    0.006    0.006 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\__init__.py:1(<module>)
        8    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\mul.py:478(<listcomp>)
       40    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:193(_reshape_dispatcher)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:1926(__init__)
       34    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:258(get_transform_rotates_text)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:429(<genexpr>)
        4    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:890(_eval_is_extended_positive)
        3    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\mul.py:1417(_eval_real_imag)
       14    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\operations.py:91(<listcomp>)
       48    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\stride_tricks.py:476(_broadcast_arrays_dispatcher)
       22    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\cycler.py:165(keys)
       15    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:893(_eval_is_extended_negative)
        7    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:587(filled)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:6620(array)
       20    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\cycler.py:386(<dictcomp>)
       18    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:569(formatter)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\tensor\tensor.py:1970(TensExpr)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\decorators.py:98(priority_decorator)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\printing\str.py:609(_print_Pow)
       38    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:3148(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:1704(mask_or)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_pylab_helpers.py:77(destroy_all)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1519(get_major_formatter)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\core.py:101(__gt__)
        7    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
        4    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\functools.py:518(decorating_function)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\multipledispatch\conflict.py:56(ordering)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:214(get_offset_transform)
        1    0.000    0.000    0.011    0.011 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:215(_init_axis)
       27    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:900(_construct_text)
        2    0.000    0.000    0.000    0.000 {built-in method setCheckable}
        1    0.000    0.000    0.000    0.000 {method 'getsockname' of '_socket.socket' objects}
       11    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\numeric.py:1878(isscalar)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(diff)
       20    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\ma\core.py:3671(_get_data)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:696(set_antialiased)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\tensor\tensor.py:1582(TensorType)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:564(_widgetclosed)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_qt.py:785(set_history_buttons)
       14    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\linalg\linalg.py:117(isComplexType)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:1721(_set)
        1    0.000    0.000    0.026    0.026 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:3498(new_figure_manager)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:72(wrapper)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1596(update_units)
        1    0.000    0.000    0.000    0.000 {built-in method setAlignment}
        2    0.000    0.000    0.000    0.000 {setAttribute}
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:1064(key)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py:305(_get_machar)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:2202(_setup_new_guiapp)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:172(__init__)
       46    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:1011(get_sketch_params)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:571(auto_scale_xyz)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\site-packages\PyQt5\__init__.py:23(find_qt)
       43    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\cbook\__init__.py:868(<listcomp>)
        1    0.000    0.000    0.023    0.023 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_subplots.py:14(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:466(<listcomp>)
       54    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\_collections_abc.py:409(__subclasshook__)
       19    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:277(isfunction)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\textwrap.py:241(_wrap_chunks)
        8    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:678(__float__)
       46    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:768(restore)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\generators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:59(RendererAgg)
        3    0.000    0.000    0.000    0.000 {built-in method left}
        3    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\functions\elementary\exponential.py:212(__instancecheck__)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\qt_compat.py:272(__getattr__)
        7    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\numerictypes.py:356(issubdtype)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\__init__.py:628(__setitem__)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:1275(__init__)
        1    0.000    0.000    0.025    0.025 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:2814(create_with_canvas)
        6    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
     10/3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:1550(walk)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\path.py:731(unit_rectangle)
        8    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:1705(_idle_draw_cntx)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:3248(signature)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\utilities\decorator.py:309(deprecated_decorator)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\operations.py:125(_new_rawargs)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2227(transform_non_affine)
       29    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:973(set_snap)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axis3d.py:210(set_pane_color)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\codegen\ast.py:961(Type)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:663(_finddoc)
        8    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\numbers.py:2011(as_numer_denom)
       31    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\fromnumeric.py:2427(_all_dispatcher)
        6    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_ufunc_config.py:435(__exit__)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:856(update_from_path)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:1538(_set_title_offset_trans)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\typing.py:986(__setattr__)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\add.py:669(_eval_is_imaginary)
        7    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:3778(get_ybound)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:2406(get_minpos)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\functools.py:800(singledispatch)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\inspect.py:2994(from_callable)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:1092(stat)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nonzero)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\function_base.py:4892(meshgrid)
        2    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:1389(__init__)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:31(_norm_text_angle)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\art3d.py:845(set_facecolor)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:100(_update_methods)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpmath\libmp\libmpf.py:64(dps_to_prec)
       15    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpmath\libmp\libmpf.py:153(_normalize)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\printing\printer.py:250(_get_initial_settings)
        3    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\socket.py:498(close)
       32    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:761(rotation_point)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\group_constructs.py:1(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\symbol.py:298(__xnew__)
        1    0.000    0.000    1.245    1.245 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\qt_compat.py:166(_exec)
       17    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:244(_get_multialignment)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\gridspec.py:33(__init__)
        7    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\mpl_toolkits\mplot3d\axes3d.py:1222(get_zbound)
        1    0.000    0.000    0.001    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\subsets.py:1(<module>)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\getlimits.py:111(_float_to_str)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\ticker.py:683(get_offset)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\collections.py:740(set_facecolor)
       29    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:641(get_sketch_params)
       10    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:302(set_antialiased)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method setMouseTracking}
        1    0.000    0.000    0.000    0.000 {built-in method PyQt5.QtCore.pyqtSlot}
       24    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\typing.py:146(_type_check)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(stack)
        5    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\linalg\linalg.py:186(_assert_stacked_square)
       20    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:574(get_url)
        3    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\patches.py:1078(__init__)
        9    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:1726(set_major_formatter)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\gridspec.py:573(_from_subplot_args)
       27    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\mul.py:1293(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\tensor\tensor.py:94(_IndexStructure)
       17    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\backend_agg.py:264(get_canvas_width_height)
        2    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:1046(_parse_order)
        8    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\_methods.py:61(_all)
       46    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backend_bases.py:999(get_hatch_color)
        3    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axis.py:2097(_get_ticks_position)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\multipledispatch\conflict.py:67(<dictcomp>)
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\expr.py:1280(args_cnc)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\add.py:1077(primitive)
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\printing\pycode.py:564(_print_Symbol)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\pathlib.py:631(__fspath__)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(sum)
        4    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\colors.py:761(__copy__)
       17    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\text.py:743(get_color)
       30    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\axes\_base.py:803(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\combinatorics\named_groups.py:1(<module>)
