Sun Jun  4 00:01:46 2023    info.dat

         389594 function calls (376557 primitive calls) in 1.617 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6154    0.000    0.000    0.000    0.000 {built-in method _operator.index}
       54    0.000    0.000    0.004    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:731(draw)
      187    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_api\__init__.py:65(check_isinstance)
       98    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1139(set_linestyle)
    130/1    0.000    0.000    0.104    0.104 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\artist.py:33(draw_wrapper)
     3474    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
     2559    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
   107/58    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\transforms.py:2441(get_affine)
  172/158    0.000    0.000    0.094    0.001 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\_api\deprecation.py:443(wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\font_manager.py:1547(_get_font)
  846/778    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      314    0.000    0.000    0.002    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\colors.py:265(to_rgba)
      848    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
     1355    0.000    0.000    0.001    0.000 C:\Program Files\Python310\lib\abc.py:117(__instancecheck__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
  106/104    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\spines.py:327(get_spine_transform)
  380/363    0.000    0.000    0.002    0.000 C:\Program Files\Python310\lib\contextlib.py:139(__exit__)
      915    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\lib\shape_base.py:608(_column_stack_dispatcher)
   185/85    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      348    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        3    0.000    0.000    0.023    0.008 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\backends\qt_compat.py:71(_setup_pyqt5plus)
      459    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\colors.py:213(_is_nth_color)
      150    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\sympy\core\basic.py:350(__eq__)
      920    0.000    0.000    0.000    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\numpy\core\shape_base.py:207(_arrays_for_stack_dispatcher)
      343    0.000    0.000    0.001    0.000 C:\Users\vadqu\AppData\Roaming\Python\Python310\site-packages\matplotlib\lines.py:1271(set_xdata)
      518    0.000    0.000    0.000    0.000 C:\Program Files\Python310\lib\re.py:288(_compile)
